Time,Weight,Change,BMI,Body Fat,Skeletal Muscle Mass,Bone Mass,Body Water,
" Aug 27, 2022",
8:43 AM,114.9 kg,0.4 kg,35.1,--,--,--,--,
" Aug 26, 2022",
5:33 AM,115.3 kg,0.1 kg,35.2,--,--,--,--,
" Aug 25, 2022",
5:43 AM,115.4 kg,0.4 kg,35.2,--,--,--,--,
" Aug 24, 2022",
5:28 AM,115.0 kg,0.9 kg,35.1,--,--,--,--,
" Aug 23, 2022",
5:17 AM,115.9 kg,0.4 kg,35.4,--,--,--,--,
" Aug 22, 2022",
4:40 PM,116.3 kg,2.4 kg,35.5,--,--,--,--,
" Aug 10, 2022",
5:52 PM,118.7 kg,1.7 kg,36.2,--,--,--,--,
" Aug 9, 2022",
5:10 PM,117.0 kg,1.3 kg,35.7,--,--,--,--,
" Aug 8, 2022",
6:22 PM,118.3 kg,--,36.1,--,--,--,--,
