Time,Weight,Change,BMI,Body Fat,Skeletal Muscle Mass,Bone Mass,Body Water,
" Oct 24, 2022",
5:32 AM,111.9 kg,0.1 kg,34.2,--,--,--,--,
" Oct 23, 2022",
6:18 AM,111.8 kg,0.2 kg,34.1,--,--,--,--,
" Oct 22, 2022",
6:24 AM,112.0 kg,0.1 kg,34.2,--,--,--,--,
" Oct 21, 2022",
5:05 AM,112.1 kg,0.6 kg,34.2,--,--,--,--,
" Oct 20, 2022",
5:25 AM,111.5 kg,0.4 kg,34,--,--,--,--,
" Oct 19, 2022",
4:58 AM,111.9 kg,0.7 kg,34.2,--,--,--,--,
" Oct 18, 2022",
5:37 AM,112.6 kg,0.3 kg,34.4,--,--,--,--,
" Oct 17, 2022",
5:51 AM,112.9 kg,0.0 kg,34.5,--,--,--,--,
" Oct 16, 2022",
7:26 AM,112.9 kg,0.1 kg,34.5,--,--,--,--,
" Oct 15, 2022",
6:45 AM,113.0 kg,0.4 kg,34.5,--,--,--,--,
" Oct 14, 2022",
6:02 AM,113.4 kg,0.0 kg,34.6,--,--,--,--,
" Oct 13, 2022",
6:06 AM,113.4 kg,0.3 kg,34.6,--,--,--,--,
" Oct 12, 2022",
6:29 AM,113.1 kg,0.5 kg,34.5,--,--,--,--,
" Oct 11, 2022",
5:43 AM,113.6 kg,0.0 kg,34.7,--,--,--,--,
" Oct 10, 2022",
5:35 AM,113.6 kg,0.3 kg,34.7,--,--,--,--,
" Oct 9, 2022",
5:48 AM,113.9 kg,0.8 kg,34.8,--,--,--,--,
" Oct 8, 2022",
7:21 AM,113.1 kg,0.6 kg,34.5,--,--,--,--,
" Oct 7, 2022",
5:32 AM,113.7 kg,0.3 kg,34.7,--,--,--,--,
" Oct 6, 2022",
5:48 AM,113.4 kg,0.0 kg,34.6,--,--,--,--,
" Oct 5, 2022",
4:55 AM,113.4 kg,0.1 kg,34.6,--,--,--,--,
" Oct 4, 2022",
5:47 AM,113.3 kg,0.8 kg,34.6,--,--,--,--,
" Oct 3, 2022",
6:11 AM,114.1 kg,0.1 kg,34.8,--,--,--,--,
" Oct 2, 2022",
6:03 AM,114.0 kg,0.7 kg,34.8,--,--,--,--,
" Sep 30, 2022",
5:32 AM,113.3 kg,0.5 kg,34.6,--,--,--,--,
" Sep 29, 2022",
5:40 AM,113.8 kg,0.3 kg,34.7,--,--,--,--,
" Sep 27, 2022",
5:30 AM,114.1 kg,0.1 kg,34.8,--,--,--,--,
" Sep 26, 2022",
5:49 AM,114.2 kg,0.0 kg,34.9,--,--,--,--,
" Sep 25, 2022",
6:02 AM,114.2 kg,0.0 kg,34.9,--,--,--,--,
" Sep 24, 2022",
6:15 AM,114.2 kg,0.6 kg,34.9,--,--,--,--,
" Sep 23, 2022",
5:38 AM,113.6 kg,0.3 kg,34.7,--,--,--,--,
" Sep 22, 2022",
5:36 AM,113.9 kg,0.5 kg,34.8,--,--,--,--,
" Sep 21, 2022",
5:30 AM,113.4 kg,1.1 kg,34.6,--,--,--,--,
" Sep 19, 2022",
4:29 AM,114.5 kg,0.1 kg,35,--,--,--,--,
" Sep 18, 2022",
5:12 AM,114.4 kg,0.8 kg,34.9,--,--,--,--,
" Sep 17, 2022",
6:22 AM,113.6 kg,0.9 kg,34.7,--,--,--,--,
" Sep 16, 2022",
4:53 AM,114.5 kg,0.0 kg,35,--,--,--,--,
" Sep 15, 2022",
5:56 AM,114.5 kg,1.1 kg,35,--,--,--,--,
" Sep 13, 2022",
6:39 AM,115.6 kg,0.7 kg,35.3,--,--,--,--,
" Sep 12, 2022",
6:22 AM,114.9 kg,1.0 kg,35.1,--,--,--,--,
" Sep 11, 2022",
7:35 AM,113.9 kg,0.0 kg,34.8,--,--,--,--,
" Sep 10, 2022",
6:53 AM,113.9 kg,0.2 kg,34.8,--,--,--,--,
" Sep 9, 2022",
7:10 AM,114.1 kg,0.1 kg,34.8,--,--,--,--,
" Sep 8, 2022",
6:10 AM,114.0 kg,0.6 kg,34.8,--,--,--,--,
" Sep 7, 2022",
7:33 AM,113.4 kg,0.8 kg,34.6,--,--,--,--,
" Sep 6, 2022",
6:58 AM,114.2 kg,0.2 kg,34.9,--,--,--,--,
" Sep 5, 2022",
7:40 AM,114.0 kg,1.2 kg,34.8,--,--,--,--,
" Sep 4, 2022",
6:08 AM,115.2 kg,0.6 kg,35.2,--,--,--,--,
" Sep 3, 2022",
4:56 AM,114.6 kg,0.2 kg,35,--,--,--,--,
" Sep 2, 2022",
5:50 AM,114.4 kg,0.6 kg,34.9,--,--,--,--,
" Sep 1, 2022",
5:27 AM,113.8 kg,0.4 kg,34.7,--,--,--,--,
" Aug 31, 2022",
4:59 AM,114.2 kg,0.5 kg,34.9,--,--,--,--,
" Aug 30, 2022",
5:38 AM,114.7 kg,1.2 kg,35,--,--,--,--,
" Aug 29, 2022",
5:39 AM,115.9 kg,0.2 kg,35.4,--,--,--,--,
" Aug 28, 2022",
6:50 AM,116.1 kg,1.2 kg,35.4,--,--,--,--,
" Aug 27, 2022",
8:43 AM,114.9 kg,0.4 kg,35.1,--,--,--,--,
" Aug 26, 2022",
